Gene	Group
FZD2	invasive
EFNB2	invasive
LOXL1-AS1	invasive
ARTN	invasive
STC1	invasive
LTBP1	invasive
MECOM	invasive
ZNF804A	invasive
RARRES1	invasive
RELN	invasive
TMEM200B	invasive
LAPTM5	invasive
MMP2	invasive
CAMK1D	invasive
PDGFC	invasive
PODXL	invasive
GCNT1	invasive
FGF2	invasive
CD96	invasive
CYR61	invasive
HIC1	invasive
MPP7	invasive
A4GALT	invasive
LINC00960	invasive
LAYN	invasive
WISP1	invasive
MX1	invasive
NPTX1	invasive
WNT5A-AS1	invasive
WNT5B	invasive
AC005789.11	invasive
FAM65C	invasive
IRF1	invasive
SAMD9L	invasive
KCNT2	invasive
FOXE1	invasive
NHS	invasive
LY6K	invasive
FOXC2	invasive
CRIM1	invasive
DOCK3	invasive
TNFRSF10A	invasive
DOCK2	invasive
CYP27C1	invasive
AMZ1	invasive
SECTM1	invasive
SOX9	invasive
FIBCD1	invasive
SH3RF2	invasive
DCN	invasive
SCARA3	invasive
BLK	invasive
TAGLN	invasive
PCOLCE	invasive
THSD4	invasive
KIAA1462	invasive
DKK1	invasive
FAM167A	invasive
PCDHGB4	invasive
SAMD12	invasive
B3GNT9	invasive
IFI44	invasive
DPYD	invasive
TLE4	invasive
IL20RB	invasive
FAM20C	invasive
PDGFB	invasive
SYT1	invasive
C12orf75	invasive
SCG5	invasive
EPHA2	invasive
ADAM8	invasive
AMPD3	invasive
LTBP2	invasive
MAGEC2	invasive
EPS8L2	invasive
RYR2	invasive
PCDHB3	invasive
NNMT	invasive
VASN	invasive
SPEG	invasive
LPHN2	invasive
PCDHGA11	invasive
PLAUR	invasive
ITGB4	invasive
ITGA2	invasive
CXCL3	invasive
ADAMTS4	invasive
PRDM1	invasive
STEAP2	invasive
BASP1	invasive
SPRED3	invasive
S100A16	invasive
TDRD9	invasive
MYLK	invasive
COL6A1	invasive
ANGPTL4	invasive
PCDH10	invasive
TFPI	invasive
PDZD2	invasive
RP11-575F12.2	invasive
SUSD1	invasive
HTR7	invasive
TPM2	invasive
CPE	invasive
FLNB	invasive
ZNF415	invasive
GPX1P1	invasive
SYBU	invasive
C1R	invasive
ERRFI1	invasive
IGFBP3	invasive
DPF3	invasive
ZNF185	invasive
CXCL1	invasive
PIP5KL1	invasive
GPR176	invasive
TRABD2A	invasive
NR2F1-AS1	invasive
IFI6	invasive
VCAN	invasive
SHC3	invasive
SCN2A	invasive
NUAK2	invasive
ITGA5	invasive
SPOCK1	invasive
IKZF2	invasive
DDAH1	invasive
BCL3	invasive
TFPI2	invasive
INHBE	invasive
RRAS	invasive
OSMR	invasive
LAMB3	invasive
EFEMP2	invasive
NMI	invasive
IFIT1	invasive
TBX3	invasive
FERMT3	invasive
ID1	invasive
MT2A	invasive
ST8SIA5	invasive
ANTXR2	invasive
PEX5L	invasive
KIRREL3	invasive
LMO7	invasive
PPP1R13L	invasive
MIR22HG	invasive
CD274	invasive
CAV1	invasive
NCEH1	invasive
NDUFA4L2	invasive
CSF1	invasive
CLEC2B	invasive
RP4-758J24.5	invasive
LINC00085	invasive
HEG1	invasive
FOSL1	invasive
EPAS1	invasive
SAMD9	invasive
AJUBA	invasive
BCAT1	invasive
ARHGAP23	invasive
NFE2L3	invasive
TPM1	invasive
RUNX2	invasive
SNED1	invasive
DGKA	invasive
PLOD2	invasive
CPED1	invasive
CDC42EP2	invasive
DDX58	invasive
SMURF2	invasive
HAS3	invasive
ZC3H12A	invasive
QSOX1	invasive
ERAP2	invasive
UCHL1	invasive
C4orf32	invasive
GAS6	invasive
TRIM59	invasive
RP11-14N7.2	invasive
ELL2	invasive
VEGFA	invasive
RND3	invasive
UAP1	invasive
SPDL1	invasive
RASA1	invasive
SEMA4B	invasive
ECE1	invasive
FAM129B	invasive
LAMC1	invasive
NXT2	invasive
ARL4C	invasive
TGFBR2	invasive
NFKBIA	invasive
SEC24D	invasive
SP100	invasive
HMGA1	invasive
GRAMD1B	invasive
TRAM2	invasive
CNN2	invasive
STX1A	invasive
HBEGF	invasive
PVR	invasive
BCAR3	invasive
IRS1	invasive
FSTL3	invasive
SIPA1L3	invasive
ENG	invasive
RELB	invasive
MAP4K4	invasive
DOCK5	invasive
GALNT10	invasive
IL6ST	invasive
TPM4	invasive
ATP2B1	invasive
HERC6	invasive
RIN1	invasive
ELFN1	invasive
FJX1	invasive
FUT8	invasive
TNIP1	invasive
SPATS2L	invasive
JUN	invasive
SMAD3	invasive
RBCK1	invasive
DCBLD1	invasive
CD151	invasive
TCP11L2	invasive
TLDC1	invasive
NET1	invasive
SKIL	invasive
RTN4	invasive
ASPH	invasive
UBE2E3	invasive
KLF7	invasive
TIFA	invasive
E2F7	invasive
SDC4	invasive
DRAP1	invasive
NR2F2	invasive
ANKRD13A	invasive
PDLIM7	invasive
RAB23	invasive
ST6GALNAC4	invasive
CITED2	invasive
NME7	invasive
CYLD	invasive
AQP1	invasive
PVRL2	invasive
RASA3	invasive
PLCB3	invasive
RAPH1	invasive
PLK2	invasive
FEZ2	invasive
ARL4D	invasive
FTSJ3	invasive
TAP1	invasive
PMAIP1	invasive
FBLN2	invasive
PARP3	invasive
ELK3	invasive
TRIM21	invasive
ING2	invasive
DPF1	invasive
MYL6	invasive
TFE3	invasive
SH3RF1	invasive
SLC10A3	invasive
RRAS2	invasive
PDLIM5	invasive
LASP1	invasive
HSPA5	invasive
EFHD2	invasive
ATG7	invasive
NR3C1	invasive
KLF10	invasive
ITGB1	invasive
SOCS5	invasive
MAP3K14	invasive
CDKN2A	invasive
EXT1	invasive
PNPLA2	invasive
LAMB2	invasive
KANK2	invasive
C9orf37	invasive
HYI	invasive
GNAI2	invasive
LOXL4	invasive
DNMBP	invasive
PINK1	invasive
HDGF	invasive
SLC38A2	invasive
ODF2	invasive
EHBP1L1	invasive
SLC16A1	invasive
KCTD1	invasive
TCEAL3	invasive
MLTK	invasive
TMSB10	invasive
CSNK2B	invasive
MCFD2	invasive
PML	invasive
MYH9	invasive
PLIN3	invasive
SYDE1	invasive
OXSR1	invasive
SHISA5	invasive
PPP4R1	invasive
NOTCH2	invasive
TOR1B	invasive
RPL23AP79	invasive
SIAH2	invasive
SPIN1	invasive
SRF	invasive
ZNF865	invasive
PSME1	invasive
VASP	invasive
CTTNBP2NL	invasive
FCF1	invasive
MAD2L1BP	proliferative
TXN2	proliferative
ADAM10	proliferative
NAGA	proliferative
ACO2	proliferative
MT-CO1	proliferative
TRUB1	proliferative
HMGCR	proliferative
CCNC	proliferative
TANC1	proliferative
TRAK2	proliferative
RPLP1	proliferative
BCL2L13	proliferative
SGSM3	proliferative
KCP	proliferative
POPDC3	proliferative
TTL	proliferative
PTCD3	proliferative
ATE1	proliferative
LMBRD1	proliferative
RSAD1	proliferative
GGCT	proliferative
WDR11	proliferative
RHBDD3	proliferative
ATP6V1E1	proliferative
ABCC5	proliferative
TMEM33	proliferative
NDUFAF4	proliferative
TCTN3	proliferative
DDI2	proliferative
TAB3	proliferative
CD320	proliferative
MCOLN1	proliferative
PTEN	proliferative
CABIN1	proliferative
GNPTG	proliferative
FBXO7	proliferative
CLN3	proliferative
USP6NL	proliferative
RP11-159F24.1	proliferative
DUSP22	proliferative
ESRRA	proliferative
CLUH	proliferative
PPA1	proliferative
LOH12CR1	proliferative
FASN	proliferative
MINPP1	proliferative
NPM3	proliferative
GGA2	proliferative
ZNF74	proliferative
MOAP1	proliferative
TLE1	proliferative
ZNF706	proliferative
FOXO4	proliferative
WDFY1	proliferative
DHTKD1	proliferative
CNNM3	proliferative
MMS19	proliferative
PSEN2	proliferative
GBAS	proliferative
PCMT1	proliferative
FARP1	proliferative
FAM89A	proliferative
MSI2	proliferative
RPS12	proliferative
TSPAN3	proliferative
ANKRD46	proliferative
DMXL2	proliferative
HS1BP3	proliferative
STX3	proliferative
SREBF2	proliferative
TMEM64	proliferative
ABRACL	proliferative
SSH2	proliferative
SNHG16	proliferative
TOM1	proliferative
PPP2R5A	proliferative
DTNB	proliferative
MYLIP	proliferative
OSBPL1A	proliferative
MED15	proliferative
FAM217B	proliferative
TRAF4	proliferative
DGCR6L	proliferative
SEC11C	proliferative
ZNF138	proliferative
PEBP1	proliferative
THEM6	proliferative
AGPAT6	proliferative
NECAB3	proliferative
TYRO3	proliferative
GYPC	proliferative
SRP14-AS1	proliferative
NHLRC3	proliferative
ZFYVE27	proliferative
GSTM4	proliferative
BIN3	proliferative
MYO10	proliferative
CTNNB1	proliferative
ATM	proliferative
SLC2A11	proliferative
TP53	proliferative
SNX30	proliferative
DHX33	proliferative
FNBP1L	proliferative
PPP1R3D	proliferative
PAX3	proliferative
MPC1	proliferative
FAM63B	proliferative
MOB1B	proliferative
HPS1	proliferative
PRMT7	proliferative
LINC00263	proliferative
EIF4EBP2	proliferative
ACSL3	proliferative
GM2A	proliferative
SFXN4	proliferative
CELSR2	proliferative
ATP1A1	proliferative
TYSND1	proliferative
R3HCC1L	proliferative
RASSF3	proliferative
AMDHD2	proliferative
IDI1	proliferative
RHOQ	proliferative
PACSIN2	proliferative
TFAP2A	proliferative
PIP4K2A	proliferative
CHD7	proliferative
FZD3	proliferative
ALDH4A1	proliferative
TMEM251	proliferative
EPM2A	proliferative
ATP6V0E2	proliferative
FAM101B	proliferative
TPT1-AS1	proliferative
FAM161A	proliferative
PLD1	proliferative
MYO5A	proliferative
ARHGAP19	proliferative
SDCBP	proliferative
INPP4B	proliferative
MEGF9	proliferative
RP11-1055B8.7	proliferative
SLC19A2	proliferative
WIPI1	proliferative
KLHL22	proliferative
C1orf85	proliferative
FUOM	proliferative
SLC6A8	proliferative
DAAM1	proliferative
ERMP1	proliferative
LPCAT1	proliferative
SMPD2	proliferative
SLC39A11	proliferative
POLR3G	proliferative
OSER1-AS1	proliferative
OAT	proliferative
TULP4	proliferative
ATP6V0A1	proliferative
CYTH3	proliferative
ZBTB10	proliferative
TPD52	proliferative
FAM210B	proliferative
ARVCF	proliferative
UBL3	proliferative
LDLRAD3	proliferative
SLC23A2	proliferative
BACE2	proliferative
AC083843.1	proliferative
LONRF1	proliferative
TTLL1	proliferative
IVNS1ABP	proliferative
ARRB1	proliferative
STAT5A	proliferative
RAB32	proliferative
NANOS1	proliferative
LIPA	proliferative
BCL2	proliferative
USP54	proliferative
STXBP1	proliferative
VAT1	proliferative
SASH1	proliferative
TMEM98	proliferative
TRAPPC6A	proliferative
ATP6V1C1	proliferative
GRAMD4	proliferative
FARP2	proliferative
SERINC5	proliferative
COMTD1	proliferative
CHCHD6	proliferative
IRS2	proliferative
MYC	proliferative
SLC25A23	proliferative
ST3GAL5	proliferative
MAP6D1	proliferative
MFGE8	proliferative
PPARGC1B	proliferative
GLUD2	proliferative
PI4KAP1	proliferative
PARD6G	proliferative
HSF4	proliferative
FBXL7	proliferative
GPR153	proliferative
PFKFB2	proliferative
PSAP	proliferative
RP11-334C17.5	proliferative
DIP2C	proliferative
RAB3A	proliferative
THNSL1	proliferative
AVPI1	proliferative
GNPTAB	proliferative
LGALS3	proliferative
TANGO2	proliferative
ATP7B	proliferative
GSTO1	proliferative
SOX13	proliferative
CLCN7	proliferative
KREMEN1	proliferative
SETDB2	proliferative
PPFIBP2	proliferative
ASB13	proliferative
CERS4	proliferative
CHCHD10	proliferative
SCARB1	proliferative
ARNT2	proliferative
TBC1D14	proliferative
EN2	proliferative
QDPR	proliferative
AK9	proliferative
IGSF8	proliferative
RGS20	proliferative
KAZN	proliferative
DSTYK	proliferative
PODXL2	proliferative
DFNB31	proliferative
ZBED3-AS1	proliferative
KIAA0930	proliferative
FNIP2	proliferative
GK	proliferative
TPCN2	proliferative
ANKRD44	proliferative
KREMEN2	proliferative
PLEKHG3	proliferative
OSTM1	proliferative
ATP11A	proliferative
FAXDC2	proliferative
NHSL1	proliferative
MFAP3L	proliferative
TCFL5	proliferative
ITPK1	proliferative
CHKA	proliferative
TRIB1	proliferative
TRIB2	proliferative
PIK3C2B	proliferative
MYH10	proliferative
SLC25A16	proliferative
CTD-3065J16.9	proliferative
MAP3K1	proliferative
GPNMB	proliferative
IGSF3	proliferative
HSPA12A	proliferative
ADAM11	proliferative
MARCKSL1	proliferative
TATDN2P2	proliferative
SOX5	proliferative
C1orf198	proliferative
ARSG	proliferative
FMN1	proliferative
RP11-356I2.4	proliferative
FAHD2CP	proliferative
ACSL1	proliferative
GS1-358P8.4	proliferative
GPRC5B	proliferative
LYST	proliferative
SCD	proliferative
SLC18B1	proliferative
LINC00473	proliferative
CCDC78	proliferative
SLC5A4	proliferative
TPPP	proliferative
LINC00920	proliferative
SMPDL3A	proliferative
FRMD3	proliferative
SIRPA	proliferative
TMEM170B	proliferative
NXN	proliferative
HPS4	proliferative
TDRD3	proliferative
GPR56	proliferative
CTA-217C2.1	proliferative
CRYL1	proliferative
MICAL1	proliferative
KIF1A	proliferative
CLCN5	proliferative
RHPN1	proliferative
LEF1	proliferative
RAB27A	proliferative
RNF144B	proliferative
LA16c-390E6.4	proliferative
ADARB1	proliferative
SEMA6D	proliferative
CHST11	proliferative
DNAJC12	proliferative
REEP6	proliferative
CDK18	proliferative
GPR19	proliferative
PDGFD	proliferative
FN3K	proliferative
RTN4R	proliferative
SCAMP5	proliferative
C10orf11	proliferative
ZFYVE16	proliferative
HMG20B	proliferative
FAM149A	proliferative
SHC4	proliferative
FAM222A	proliferative
SLC1A4	proliferative
STX7	proliferative
CUBN	proliferative
