Gene	Group
TNRC6C-AS1	proliferative
LGI3	proliferative
MLIP	proliferative
TUBB4A	proliferative
COBL	proliferative
LHFPL3-AS1	proliferative
LINC00488	proliferative
RP11-557H15.2	proliferative
GALNT3	proliferative
S100B	proliferative
AC002511.1	proliferative
SORBS1	proliferative
IGF1	proliferative
ADCY2	proliferative
DLGAP1	proliferative
SFTPC	proliferative
HILS1	proliferative
PLXNC1	proliferative
MYH14	proliferative
AC145110.1	proliferative
PLA1A	proliferative
GLB1L2	proliferative
CHL1	proliferative
GAPDHS	proliferative
CTNNA2	proliferative
RP11-599J14.2	proliferative
SHE	proliferative
CTD-2207A17.1	proliferative
RP11-1055B8.3	proliferative
RP11-104E19.1	proliferative
AC096559.1	proliferative
FXYD3	proliferative
HPGD	proliferative
MMP8	proliferative
IRX6	proliferative
RP11-347E10.1	proliferative
GJB1	proliferative
GPR143	proliferative
PLP1	proliferative
CDH19	proliferative
IL16	proliferative
MPPED2	proliferative
RP11-252C15.1	proliferative
CDH1	proliferative
C10orf90	proliferative
APOE	proliferative
ITIH5	proliferative
OCA2	proliferative
MAF	proliferative
FAM69C	proliferative
RP4-529N6.1	proliferative
SOX10	proliferative
FRMD4B	proliferative
ERBB3	proliferative
SEMA6A	proliferative
MCF2L	proliferative
MAPK4	proliferative
FAM174B	proliferative
SLC38A8	proliferative
MYO1D	proliferative
LINC00520	proliferative
NSG1	proliferative
IGSF11	proliferative
C20orf26	proliferative
HRK	proliferative
PAEP	proliferative
SLC45A2	proliferative
TRIM51	proliferative
ATP10A	proliferative
ROPN1	proliferative
COL9A3	proliferative
SCML4	proliferative
RP11-429E11.2	proliferative
GAS7	proliferative
CA14	proliferative
LINC00698	proliferative
PTPRZ1	proliferative
DCT	proliferative
MID2	proliferative
PMEL	proliferative
SORCS1	proliferative
ABCB5	proliferative
PRDM7	proliferative
GPM6B	proliferative
LCP2	proliferative
ENTHD1	proliferative
MLANA	proliferative
TYR	proliferative
NKAIN4	proliferative
IRF4	proliferative
SGCD	proliferative
SLC24A5	proliferative
TRIM63	proliferative
BIRC7	proliferative
TRPM1	proliferative
