A375_Resist_BR15_1	A375_Resist_BR15_2	A375_Resist_BR2_resist2	A375_Resist_BR2_resist3	A375_Par_Par4A	A375_Par_Par5A
ACER2	77	46	114	82	269	62
ACER3	317	426	1001	763	2176	528
ACHE	8	21	10	6	15	1
ACIN1	1879	1143	2636	2378	10846	2045
ACKR1	0	0	1	0	1	2
ACKR2	2	1	4	2	0	0
ACKR3	9	0	17	7	0	0
ACKR4	0	0	0	0	2	0
ACLY	6063	4321	14807	8989	34749	7117
ACMSD	0	0	0	0	1	0
ACO1	1547	617	2014	1157	3626	883
ACO2	2210	500	2200	1423	4686	838
ACOT1	144	51	214	150	426	117
ACOT11	6	9	10	9	82	18
ACOT12	1	0	1	1	7	2
ACOT13	291	151	303	248	886	227
ACOT2	311	101	356	200	705	171
ACOT4	0	0	1	0	0	0
ACOT6	0	0	0	0	1	0
ACOT7	1112	1200	1883	1103	11067	2217
ACOT8	737	318	752	428	2059	439
ACOT9	754	599	1931	1109	4753	1329
ACOX1	2366	1129	3829	2524	7355	1947
ACOX2	97	59	1067	708	1134	251
ACOX3	427	286	543	277	2004	409
ACOXL	3	0	1	3	2	0
ACP1	1113	662	2477	1505	6334	1581
ACP2	1495	482	1499	1024	2064	383
ACP5	1066	91	1064	708	1957	353
ACP6	354	791	604	391	3093	656
ACPP	45	92	24	7	357	113
ACPT	1	0	0	1	0	0
ACR	0	0	0	0	0	0
ACRBP	10	1	4	5	15	2
ACRC	38	17	82	89	158	47
ACRV1	6	0	12	3	2	0
ACSBG1	9	2	6	3	7	1
ACSBG2	0	0	1	1	1	1
ACSF2	755	193	853	594	700	170
ACSF3	1046	485	820	543	2497	468
ACSL1	415	343	1438	1133	2823	724
ACSL3	1257	3164	4916	3739	30854	8741
ACSL4	942	957	4100	2447	8465	2479
ACSL5	313	15	1122	603	75	15
ACSL6	13	1	14	9	21	4
ACSM1	0	0	0	0	0	0
ACSM2A	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0
ACSM3	218	30	120	31	39	18
ACSM4	0	0	0	0	0	0
ACSM5	77	7	73	44	1	0
ACSM6	1	1	0	0	1	0
ACSS1	285	255	212	154	1586	237
ACSS2	791	1596	1903	1370	4221	1223
ACSS3	237	310	468	303	771	235
ACTA1	6	1	10	3	19	2
ACTA2	1181	262	614	482	417	84
ACTA2-AS1	3	3	15	23	47	4
ACTB	33279	14806	56614	31335	214286	37761
ACTBL2	9	17	77	13	51	10
ACTC1	3	1	2	4	0	0
ACTG1	30518	26420	66902	38172	200146	38605
ACTG1P17	9	2	4	10	20	3
ACTG1P20	49	56	274	174	881	177
ACTG1P4	0	0	9	6	9	0
ACTG2	2	1	0	0	9	2
ACTL10	182	54	126	63	315	54
ACTL6A	484	549	1293	835	6285	1714
ACTL6B	0	0	0	0	0	0
ACTL7A	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	0
ACTL8	10	25	19	11	342	52
ACTL9	0	0	0	0	0	0
ACTN1	3041	3524	5162	2791	19872	3273
ACTN1-AS1	9	1	3	0	8	0
ACTN2	2	26	6	7	98	22
ACTN3	4	0	1	1	6	2
ACTN4	7990	5340	14855	8466	43483	6504
ACTR10	535	404	1299	745	2909	871
ACTR1A	3007	1806	3937	2479	14088	3165
ACTR1B	1535	582	1524	894	3973	817
ACTR2	2920	3655	10891	7023	23550	4997
ACTR3	1711	1090	5235	3167	15349	4374
ACTR3B	163	161	300	188	1062	292
ACTR3BP2	0	0	0	1	0	0
ACTR3BP5	0	0	1	1	2	0
ACTR3C	29	13	98	78	140	37
ACTR5	166	175	324	196	1502	326
ACTR6	187	669	1188	714	4672	1387
ACTR8	756	363	1333	899	4000	1061
ACTRT1	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
ACTRT3	21	11	8	5	164	38
ACVR1	222	133	381	258	748	137
ACVR1B	477	340	703	433	1842	407
ACVR1C	3	30	9	9	79	29
ACVR2A	331	126	575	372	1109	282
ACVR2B	209	394	816	627	2994	733
ACVR2B-AS1	34	10	41	18	91	6
ACVRL1	7	1	73	47	15	2
ACY1	105	15	48	22	104	17
ACY3	6	2	5	4	3	1
ACYP1	34	24	107	89	390	114
ACYP2	156	16	210	114	225	44
ADA	451	661	451	230	1285	278
ADAD1	0	0	0	0	0	0
ADAD2	0	0	0	0	0	0
ADAL	308	182	612	385	1553	441
ADAM10	1517	1357	3343	2557	11683	2803
ADAM11	68	82	52	27	284	58
ADAM12	593	205	812	523	413	84
ADAM15	3910	1844	5657	3205	8214	1349
ADAM17	1584	661	3332	2422	6000	1559
ADAM18	0	1	0	0	0	0
ADAM19	935	389	2459	1425	5121	877
ADAM1A	36	25	78	77	263	62
ADAM2	0	0	0	0	0	0
ADAM20	1	1	3	7	7	5
ADAM20P1	7	2	9	22	8	1
ADAM21	41	4	24	26	14	3
ADAM21P1	7	3	2	1	3	3
ADAM22	262	230	503	411	1290	337
ADAM23	92	338	157	127	1722	388
ADAM28	4	1	8	8	0	0
ADAM29	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0
ADAM32	10	13	49	29	121	42
ADAM33	0	0	0	1	2	0
ADAM3A	0	0	0	0	0	0
ADAM5	0	0	1	0	0	0
ADAM6	0	0	0	0	0	0
ADAM7	0	0	0	0	0	1
ADAM8	113	18	82	84	161	16
ADAM9	1293	1267	5540	3731	11131	2951
ADAMDEC1	0	0	0	0	0	0
ADAMTS1	295	501	268	290	581	127
ADAMTS10	261	67	140	92	30	7
ADAMTS12	396	76	2977	1755	1849	403
ADAMTS13	130	40	78	70	100	17
ADAMTS14	89	0	0	0	3	0
ADAMTS15	311	82	212	219	316	32
ADAMTS16	49	119	76	47	1134	270
ADAMTS17	17	14	41	25	246	31
ADAMTS18	1	0	101	119	0	0
ADAMTS19	0	0	17	17	0	0
ADAMTS19-AS1	0	0	0	0	0	0
ADAMTS2	10	3	19	18	21	8
ADAMTS20	29	78	91	93	360	105
ADAMTS3	279	143	653	490	777	205
ADAMTS4	19	107	50	53	160	19
ADAMTS5	837	158	139	200	4	2
ADAMTS6	320	163	999	627	346	119
ADAMTS7	327	72	134	113	233	33
ADAMTS7P1	4	0	6	2	0	1
ADAMTS8	0	2	0	0	3	0
ADAMTS9	33	115	150	92	541	107
ADAMTS9-AS1	0	0	0	0	0	0
ADAMTS9-AS2	0	3	9	4	18	10
ADAMTSL1	68	11	974	641	178	36
ADAMTSL2	1	0	0	0	2	1
ADAMTSL3	1	1	14	9	200	24
ADAMTSL4	571	163	603	730	173	26
ADAMTSL4-AS1	28	32	42	44	200	55
ADAMTSL5	80	55	147	109	117	11
ADAP1	73	19	43	30	144	24
ADAP2	12	0	8	2	0	1
ADAR	7005	4377	11115	6872	28220	5717
ADARB1	90	99	182	118	1845	410
ADARB2	2	2	4	6	0	0
ADARB2-AS1	0	0	0	0	0	0
ADAT1	1249	590	1686	1071	5413	1258
ADAT2	96	133	301	250	883	213
ADAT3	59	25	28	36	216	20
